judge,type,key,dimension,count,avg_rank,first_count,min_rank,max_rank,var_rank
ali-qwen,method,all,有效性,15400,8.02909090909091,2688,1,20,30.43551735536703
ali-qwen,method,all,无干扰性,15400,8.541818181818181,1512,1,20,33.90643305785155
ali-qwen,method,all,可部署性,15400,8.02909090909091,1904,1,20,37.773699173548614
ali-qwen,method,no_cot,有效性,15456,11.945652173913043,112,1,20,30.565886893510328
ali-qwen,method,no_cot,无干扰性,15400,11.2,504,1,20,31.02545454545646
ali-qwen,method,no_cot,可部署性,15400,10.68,784,1,20,30.10850909090855
ali-qwen,method,no_rag,有效性,15344,8.277372262773723,280,1,20,21.098247109595956
ali-qwen,method,no_rag,无干扰性,15400,9.323636363636364,896,1,20,28.917077685950762
ali-qwen,method,no_rag,可部署性,15400,10.207272727272727,336,1,20,29.087947107438083
ali-qwen,method,no_feedback,有效性,15400,13.734545454545454,0,2,20,27.278624793388815
ali-qwen,method,no_feedback,无干扰性,15400,12.934545454545454,168,1,20,27.515715702480485
ali-qwen,method,no_feedback,可部署性,15400,13.083636363636364,56,1,20,23.131186776859128
ali-qwen,profile,ali-qwen,有效性,12320,13.672727272727272,0,5,20,14.874710743801602
ali-qwen,profile,ali-qwen,无干扰性,12320,8.89090909090909,1624,1,20,35.560826446280664
ali-qwen,profile,ali-qwen,可部署性,12320,7.709090909090909,2072,1,20,30.93355371900936
ali-qwen,profile,deepseek,有效性,12376,10.79185520361991,0,2,20,21.694232304825977
ali-qwen,profile,deepseek,无干扰性,12320,8.422727272727272,504,1,20,25.516756198347295
ali-qwen,profile,deepseek,可部署性,12320,7.4818181818181815,784,1,20,25.240578512397303
ali-qwen,profile,glm4.5,有效性,12320,10.454545454545455,0,2,20,26.675206611569596
ali-qwen,profile,glm4.5,无干扰性,12320,11.154545454545454,112,1,20,25.367024793388328
ali-qwen,profile,glm4.5,可部署性,12320,10.922727272727272,0,2,20,22.644028925619555
ali-qwen,profile,gpt5,有效性,12320,3.772727272727273,3080,1,20,15.830165289256247
ali-qwen,profile,gpt5,无干扰性,12320,13.327272727272728,728,1,20,38.74743801652739
ali-qwen,profile,gpt5,可部署性,12320,16.645454545454545,56,1,20,8.692479338844825
ali-qwen,profile,grok4,有效性,12264,13.821917808219178,0,3,20,20.776505911052855
ali-qwen,profile,grok4,无干扰性,12320,10.704545454545455,112,1,20,25.689979338842342
ali-qwen,profile,grok4,可部署性,12320,9.74090909090909,168,1,20,23.31923553718979
grok4,method,all,有效性,15680,7.175,2464,1,20,19.844375000000348
grok4,method,all,无干扰性,15680,9.707142857142857,1288,1,20,33.54280612245004
grok4,method,all,可部署性,15680,10.807142857142857,672,1,20,34.26280612245515
grok4,method,no_cot,有效性,15680,12.42142857142857,168,1,20,34.10096938775822
grok4,method,no_cot,无干扰性,15680,10.689285714285715,896,1,20,34.53559948979755
grok4,method,no_cot,可部署性,15680,9.635714285714286,1680,1,20,36.295867346936916
grok4,method,no_rag,有效性,15680,8.689285714285715,336,1,20,20.37845663265371
grok4,method,no_rag,无干扰性,15680,10.153571428571428,616,1,20,32.98713010203952
