timestamp,cve_id,dimension,ranking
2025-11-07T04:20:26,CVE-2017-1000056,effectiveness,"[""C19"", ""C9"", ""C14"", ""C7"", ""C17"", ""C10"", ""C15"", ""C20"", ""C18"", ""C12"", ""C4"", ""C3"", ""C2"", ""C1"", ""C5"", ""C11"", ""C16"", ""C6"", ""C8"", ""C13""]"
2025-11-07T04:20:26,CVE-2017-1000056,interference,"[""C19"", ""C14"", ""C9"", ""C10"", ""C12"", ""C17"", ""C7"", ""C15"", ""C20"", ""C4"", ""C11"", ""C16"", ""C2"", ""C1"", ""C18"", ""C5"", ""C3"", ""C6"", ""C8"", ""C13""]"
2025-11-07T04:20:26,CVE-2017-1000056,deployability,"[""C19"", ""C9"", ""C14"", ""C7"", ""C17"", ""C15"", ""C10"", ""C18"", ""C4"", ""C20"", ""C11"", ""C16"", ""C12"", ""C1"", ""C2"", ""C5"", ""C3"", ""C6"", ""C8"", ""C13""]"
2025-11-12T15:44:38,CVE-2018-0268,effectiveness,"[""C19"", ""C5"", ""C18"", ""C9"", ""C20"", ""C14"", ""C8"", ""C13"", ""C4"", ""C7"", ""C17"", ""C12"", ""C6"", ""C1"", ""C2"", ""C16"", ""C11"", ""C3"", ""C10"", ""C15""]"
2025-11-12T15:44:38,CVE-2018-0268,interference,"[""C5"", ""C19"", ""C18"", ""C13"", ""C20"", ""C9"", ""C4"", ""C16"", ""C11"", ""C14"", ""C8"", ""C7"", ""C1"", ""C2"", ""C17"", ""C12"", ""C3"", ""C6"", ""C10"", ""C15""]"
2025-11-12T15:44:38,CVE-2018-0268,deployability,"[""C19"", ""C14"", ""C9"", ""C8"", ""C18"", ""C13"", ""C4"", ""C7"", ""C17"", ""C20"", ""C1"", ""C2"", ""C11"", ""C16"", ""C6"", ""C12"", ""C3"", ""C5"", ""C10"", ""C15""]"
2025-11-05T17:57:25,CVE-2018-1000400,effectiveness,"[""C19"", ""C9"", ""C18"", ""C17"", ""C7"", ""C8"", ""C12"", ""C13"", ""C10"", ""C20"", ""C4"", ""C3"", ""C15"", ""C2"", ""C5"", ""C1"", ""C6"", ""C16"", ""C11"", ""C14""]"
2025-11-05T17:57:25,CVE-2018-1000400,interference,"[""C6"", ""C17"", ""C2"", ""C3"", ""C4"", ""C12"", ""C13"", ""C10"", ""C20"", ""C9"", ""C18"", ""C7"", ""C8"", ""C5"", ""C1"", ""C15"", ""C16"", ""C19"", ""C11"", ""C14""]"
2025-11-05T17:57:25,CVE-2018-1000400,deployability,"[""C19"", ""C9"", ""C18"", ""C17"", ""C4"", ""C12"", ""C20"", ""C13"", ""C3"", ""C10"", ""C7"", ""C2"", ""C5"", ""C1"", ""C15"", ""C6"", ""C8"", ""C16"", ""C11"", ""C14""]"
2025-12-21T18:14:12,CVE-2018-5256,effectiveness,"[""C19"", ""C12"", ""C17"", ""C14"", ""C7"", ""C18"", ""C13"", ""C4"", ""C20"", ""C10"", ""C1"", ""C2"", ""C8"", ""C16"", ""C6"", ""C11"", ""C3"", ""C5"", ""C9"", ""C15""]"
2025-12-21T18:14:12,CVE-2018-5256,interference,"[""C9"", ""C15"", ""C5"", ""C12"", ""C14"", ""C17"", ""C4"", ""C1"", ""C2"", ""C10"", ""C19"", ""C20"", ""C7"", ""C18"", ""C13"", ""C8"", ""C3"", ""C16"", ""C6"", ""C11""]"
2025-12-21T18:14:12,CVE-2018-5256,deployability,"[""C19"", ""C17"", ""C12"", ""C18"", ""C13"", ""C4"", ""C10"", ""C1"", ""C2"", ""C7"", ""C14"", ""C20"", ""C16"", ""C6"", ""C11"", ""C8"", ""C3"", ""C5"", ""C9"", ""C15""]"
2025-11-19T16:39:13,CVE-2019-10165,effectiveness,"[""C19"", ""C14"", ""C17"", ""C20"", ""C7"", ""C4"", ""C2"", ""C3"", ""C8"", ""C18"", ""C12"", ""C1"", ""C13"", ""C5"", ""C16"", ""C6"", ""C9"", ""C10"", ""C11"", ""C15""]"
2025-11-19T16:39:13,CVE-2019-10165,interference,"[""C6"", ""C9"", ""C10"", ""C11"", ""C15"", ""C3"", ""C2"", ""C1"", ""C5"", ""C13"", ""C12"", ""C8"", ""C16"", ""C18"", ""C20"", ""C7"", ""C17"", ""C14"", ""C4"", ""C19""]"
2025-11-19T16:39:13,CVE-2019-10165,deployability,"[""C19"", ""C14"", ""C20"", ""C17"", ""C4"", ""C2"", ""C3"", ""C8"", ""C7"", ""C18"", ""C1"", ""C12"", ""C13"", ""C5"", ""C16"", ""C6"", ""C9"", ""C10"", ""C11"", ""C15""]"
